"GEOID","MAMMOUSE_CrudePrev","MAMMOUSE_Crude95CI"
"06085509902","80.9","(75.3, 85.8)"
"06085510001","81.2","(75.6, 86.0)"
"06085510002","82.6","(77.3, 87.2)"
"06085510100","80.6","(74.7, 85.5)"
"06085510200","82.1","(76.6, 86.7)"
"06085510300","82.6","(77.2, 87.1)"
"06085510400","82.2","(76.7, 86.8)"
"06085510500","82.4","(77.0, 86.9)"
"06085510600","77.7","(71.7, 83.1)"
"06085510700","80.8","(75.2, 85.7)"
"06085510801","81.2","(75.7, 85.9)"
"06085510802","81.2","(75.6, 85.9)"
"06085510803","77.8","(71.5, 83.3)"
"06085510900","81.5","(75.9, 86.4)"
"06085511000","81.4","(76.0, 86.2)"
"06085511100","78.3","(72.2, 83.8)"
"06085511200","81.6","(76.1, 86.4)"
"06085511301","81.6","(76.2, 86.4)"
"06085511302","78.6","(72.6, 83.8)"
"06085511400","82.6","(77.2, 87.1)"
"06085511501","81.0","(75.3, 85.9)"
"06085511502","80.0","(74.1, 85.1)"
"06085511608","70.2","(62.1, 77.2)"
"06085511609","80.6","(74.9, 85.6)"
"06085511701","81.3","(75.8, 86.1)"
"06085511702","82.2","(76.7, 86.8)"
"06085511704","82.8","(77.6, 87.3)"
"06085511705","80.8","(75.1, 85.7)"
"06085511707","79.7","(73.8, 84.9)"
"06085511800","81.2","(75.6, 86.1)"
"06085511905","81.7","(76.1, 86.4)"
"06085511907","79.3","(73.2, 84.5)"
"06085511910","79.8","(73.8, 84.8)"
"06085511911","80.2","(74.3, 85.2)"
"06085511912","81.7","(76.0, 86.5)"
"06085511913","82.3","(76.9, 86.8)"
"06085511914","80.0","(74.0, 85.1)"
"06085511915","77.1","(70.9, 82.6)"
"06085511916","79.3","(73.2, 84.5)"
"06085511917","81.2","(75.4, 86.1)"
"06085511918","77.2","(70.9, 82.7)"
"06085512001","79.1","(73.1, 84.3)"
"06085512005","79.3","(73.4, 84.6)"
"06085512019","76.9","(70.5, 82.4)"
"06085512021","78.8","(72.8, 84.0)"
"06085512022","72.6","(65.5, 78.9)"
"06085512023","77.7","(71.1, 83.2)"
"06085512024","78.3","(72.0, 83.7)"
